sample_id;sample_name;;;;;
204;UTPA_carrier1;;;;;
205;UTPA_carrier2;;;;;
206;UTPA_carrier3;;;;;
207;UHG_groovepad;;;;;
208;DDREI_carrier;;;;;
209;FH_guitar;;;;;
210;UHG_jumpy;;;;;
211;vibrafillgroup;;;;;
212;WOLVE_pad1;;;;;
213;WOLVE_pad2;;;;;
214;WOLVE_pad3;;;;;
215;WOLVE_pad4;;;;;
216;WOLVE_pad5;;;;;
217;WOLVE_pad6;;;;;
218;TK_keysbreak;;;;;
219;pad1;;;;;
220;pad2;;;;;
221;pad3;;;;;
222;pad4;;;;;
223;ORCA_gitte1;;;;;
224;ORCA_gitte2;;;;;
225;ORCA_gitte3;;;;;
226;ORCA_gitte4;;;;;
227;ORCA_gitte5;;;;;
228;UHG_singlewalky;;;;;
229;HUC_bellswarm;;;;;
230;S3PM_walky2;;;;;
231;S3PM_walky3;;;;;
232;JDP_reso;;;;;
233;JDP_reso2;;;;;
234;DYNA_fieldambient;;;;;
235;DYNA_fieldambient2;;;;;
236;klimper;;;;;
237;wander;;;;;
238;MERLIN;;;;;
239;DNH2_pad;;;;;
240;DNH2_pad2;;;;;
241;DNH2_pad3;;;;;
242;DNH2_pad4;;;;;
243;DNH2_staccato;;;;;
244;YAR_keysanswer;;;;;
245;svenneyaucut;;;;;
246;svenneyaucut2;;;;;
247;DX7_smoothpad;;;;;
248;YAR_basseydiddle;;;;;
249;ESY_stutter;;;;;
250;kreisch&ooeelight;;;;;
251;DITC_bass;;;;;
252;bassakzent3;;;;;
253;bassakzent4;;;;;
254;UHG_walkybass;;;;;
255;S3PM_verylightbass;;;;;
256;vallikicksoftstraight;;;;;
257;spacekickle;;;;;
258;JDP_kicky2;;;;;
259;JDP_kicky3;;;;;
260;JDP_kicky4;;;;;
261;JDP_kicky5;;;;;
262;JDP_kicky6;;;;;
263;JDP_kicky7;;;;;
264;DYNA_kicks0;;;;;
265;DYNA_kicks1;;;;;
266;DYNA_kicks2;;;;;
267;DYNA_kicks3;;;;;
268;DYNA_kicks4;;;;;
269;DYNA_kicks5;;;;;
270;DYNA_kicks6;;;;;
271;DYNA_kicks7;;;;;
272;DYNA_kicks8;;;;;
273;DYNA_kicks9;;;;;
274;SKUNK_softkick;;;;;
275;SKUNK_bossakick;;;;;
276;S3PM_durchkick;;;;;
277;SHEAR_shakerrise;;;;;
278;DNH2_groovemkr;;;;;
279;galopp;;;;;
280;spacedrums;;;;;
281;VGB_offclap;;;;;
282;TEENS_shaker2;;;;;
283;JDP_streichhh;;;;;
284;ghostnotes2;;;;;
285;ghostnotes3;;;;;
286;atmen2;;;;;
287;STAND_marlon;;;;;
288;STAND_marlon&jaggi;;;;;
289;UHG_hhneww;;;;;
290;UHG_hhneww2;;;;;
291;reiswassershake;;;;;
292;shelltock;;;;;
293;UHG_hhopen;;;;;
294;S3PM_hhslight;;;;;
295;S3PM_hhslight2;;;;;
296;S3PM_hhnoisy;;;;;
297;S3PM_hhoff;;;;;
298;lighthh;;;;;
299;DYNA_ghostnotes;;;;;
300;DYNA_hhs&snares1;;;;;
301;DYNA_hhs&snares2;;;;;
302;DYNA_hhs&snares3;;;;;
303;DYNA_hhs&snares4;;;;;
304;DYNA_hhs&snares5;;;;;
305;DYNA_hhs&snares6;;;;;
306;DYNA_hhs&snares7;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
